Date,High,Low,Open,Close,Volume,Adj Close
[2017-01-03,7624.927863232136,7474.788625985147,7547.201970496652,7566.424213251592,3.47518575644E9,7156.133505201817]
[2017-01-04,7628.215195907833,7521.459933368206,7558.353393460987,7579.43034780574,3.032220628143999E9,7173.839407501935]
[2017-01-05,7669.422497268677,7546.814113055945,7586.204244059562,7620.427577198265,3.147599379096E9,7210.255381380318]
[2017-01-06,7731.685291197059,7588.1208588416575,7640.523623576878,7687.831868525265,3.6052946999309993E9,7275.493161206006]
[2017-01-09,7733.196695709946,7622.138800000426,7665.407430794475,7680.78191739583,3.324009818311002E9,7268.846755826233]
[2017-01-10,7769.935825195077,7644.798275323153,7693.13020124841,7718.363219834565,2.6924066165749993E9,7305.825221890688]
[2017-01-11,7766.818283582208,7635.100474531174,7699.198040664432,7711.131842494966,2.8485270738800015E9,7302.966448980334]
[2017-01-12,7740.507204571725,7616.445997419833,7697.875202668189,7707.341901122331,3.0384730065239987E9,7292.4021235907085]
[2017-01-13,7803.4893870463375,7706.319200310945,7737.242825270892,7763.6290798301725,2.892873343293E9,7350.814365301136]
[2017-01-17,7793.349829412698,7672.294039113523,7743.772370890619,7737.530626175169,3.4026388542390003E9,7329.450077336553]
[2017-01-18,7809.863139887331,7702.950107144593,7765.048854277375,7774.343905433415,2.6094561789589996E9,7359.22624887061]
[2017-01-19,7830.242781222345,7722.694410473109,7772.3632950232,7759.6139234094635,3.0143356509860005E9,7352.646722657205]
[2017-01-20,7841.644241478682,7738.183233833788,7806.09186929798,7793.876951792957,3.3720471944730015E9,7376.965694712879]
[2017-01-23,7744.599489949942,7626.1526653749925,7686.23725397515,7693.171790493013,2.8485108093849983E9,7320.435612499236]
[2017-01-24,7883.529925829411,7765.657328882456,7808.162533821106,7845.036765384912,2.8161191088150005E9,7428.709414643527]
[2017-01-25,7961.818071057795,7847.374340159652,7893.952293968918,7923.807081328874,3.438852429491999E9,7500.771819190506]
[2017-01-26,8004.529451201918,7875.560140897512,7945.088185899495,7930.939332128289,3.4291559411370006E9,7508.426142581703]
[2017-01-27,8023.5942384092805,7881.21304736948,7954.539613417388,7971.6166185638895,3.0427401791610003E9,7548.030787636998]
[2017-01-30,7972.920190516234,7834.6382445807485,7943.104555929899,7929.350483294486,3.480759571943001E9,7507.554137890815]
[2017-01-31,7959.535845250604,7825.523074832439,7899.678620954993,7903.1883203372945,4.164998562942001E9,7482.995169286726]
[2017-02-01,8004.154936433792,7854.739311240672,7941.805555988788,7933.996120473381,7.889982526240001E9,7512.927318437097]
[2017-02-02,7996.8085548682175,7862.773478703501,7917.001650678632,7938.47805273819,4.051324676020001E9,7515.269386007307]
[2017-02-03,8023.81129613447,7916.308376196148,7963.768621729371,7986.796942857029,3.5501225693790007E9,7560.073770274401]
[2017-02-06,8018.966439581152,7919.899651569129,7975.112357703443,7991.8717467005235,2.9489973696340003E9,7565.902682272198]
[2017-02-07,8062.430004081248,7966.905408253907,8010.325222641706,8020.333279948712,3.6624191821060004E9,7593.178908668042]
[2017-02-08,8081.791482724907,7967.205844403508,8006.738252292871,8040.585773153307,2.6438415041209984E9,7614.489051267625]
[2017-02-09,8122.341847699402,7996.603945116041,8043.699760581017,8074.60680571318,3.200593628121E9,7649.40609168196]
[2017-02-10,8159.538871497869,8043.109131875991,8096.486218247176,8117.9699712748525,2.809194720158999E9,7691.484443852904]
[2017-02-13,8197.498470454453,8091.929895312786,8146.660667508602,8155.292657377242,3.153717502139E9,7728.3524378299735]
[2017-02-14,8197.62337851286,8086.838215277669,8147.368208062173,8162.330547867778,3.4616630620660005E9,7738.65361469555]
[2017-02-15,8233.702143865348,8112.908512486458,8147.558930742739,8212.735548074483,3.2843272293339996E9,7786.957188060524]
[2017-02-16,8261.425810425997,8141.591267353059,8208.440513569592,8203.764626442193,2.8199423810210004E9,7776.195516950844]
[2017-02-17,8253.70833677888,8136.5840165112,8191.701882623913,8224.047105338337,2.8085297187179995E9,7794.683077786684]
[2017-02-21,8301.178321080206,8197.316245527983,8235.708575168135,8259.869994166374,2.866271535741001E9,7828.224373314855]
[2017-02-22,8296.356724545001,8200.2222264812,8243.242947182178,8261.341042290924,2.6605672831049995E9,7831.107685319184]
[2017-02-23,8307.474692179201,8168.296878977536,8278.682022895571,8220.578211927415,3.425119140181999E9,7795.246344874383]
[2017-02-24,8259.846336695915,8124.278957851172,8190.035663533689,8244.098713550333,2.9617853911549997E9,7812.802574441669]
[2017-02-27,8290.14834373331,8174.269274342297,8229.607924272772,8258.784415567636,2.767410990223999E9,7828.4840103056395]
[2017-02-28,8381.3260373137,8246.911335694313,8311.88390324521,8310.388756083014,2.971899717822002E9,7881.050288891314]
[2017-03-01,8431.873797859907,8297.05228395462,8361.243211700916,8384.68575608468,3.530254253273E9,7953.097903644798]
[2017-03-02,8435.240337971927,8314.91383755398,8393.201438527825,8351.410126513483,2.8184084543470006E9,7919.874913126947]
[2017-03-03,7112.047837666991,7023.830489014147,7067.098916160109,7086.114994766237,2.4918552478370004E9,6654.962566187857]
[2017-03-06,7103.775218935488,7008.093675395725,7053.155893550874,7065.10597523761,2.609106745579001E9,6635.93902697444]
[2017-03-07,8389.753505647896,8283.782527372836,8317.758324643379,8332.416894940377,2.2325582276890006E9,7903.538263484956]
[2017-03-08,8397.927499462843,8300.550349003792,8330.275903540136,8352.957075052738,2.3255367121900005E9,7924.297185797216]
[2017-03-09,8410.506194643023,8302.650811054938,8350.444674281118,8366.146910723925,2.424259705243001E9,7937.152278115509]
